@RELATION interest

@ATTRIBUTE previousWord3 string
@ATTRIBUTE previousWord3_type string
@ATTRIBUTE previousWord2 string
@ATTRIBUTE previousWord2_type string
@ATTRIBUTE previousWord1 string
@ATTRIBUTE previousWord1_type string
@ATTRIBUTE nextWord1 string
@ATTRIBUTE nextWord1_type string
@ATTRIBUTE nextWord2 string
@ATTRIBUTE nextWord2_type string
@ATTRIBUTE nextWord3 string
@ATTRIBUTE nextWord3_type string
@ATTRIBUTE class {1,2,3,4,5,6}

@DATA
those,DT,japanese,JJ,business,NN,NULL,NULL,NULL,NULL,in,IN,3
NULL,NULL,heightened,JJ,japanese,JJ,NULL,NULL,in,IN,NULL,NULL,1
bought,VBD,controlling,VBG,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,a,DT,great,JJ,NULL,NULL,in,IN,making,VBG,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,or,CC,NULL,NULL,5
with,IN,NULL,NULL,the,DT,rates,NNS,they,PP,NULL,NULL,6
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,IN,6
1X64,AB,million,AB,semiannual,JJ,payment,NN,due,JJ,yesterday,NN,6
NULL,NULL,of,IN,NULL,NULL,rate,NN,swap,NN,transactions,NNS,6
NULL,NULL,in,IN,NULL,NULL,rate,NN,swap,NN,dealings,NNS,6
in,IN,NULL,NULL,an,DT,rate,NN,NULL,NULL,swap,NN,6
make,VB,NULL,NULL,fixed-rate,JJ,payments,NNS,NULL,NULL,on,IN,6
NULL,NULL,as,IN,NULL,NULL,rates,NNS,NULL,NULL,rose,VBD,6
noting,VBG,NULL,NULL,growing,VBG,NULL,NULL,in,IN,NULL,NULL,1
dealing,VBG,with,IN,NULL,NULL,rates,NNS,NULL,NULL,and,CC,6
NULL,NULL,NULL,NULL,the,DT,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,every,DT,important,JJ,NULL,NULL,on,IN,NULL,NULL,4
NULL,NULL,the,DT,national,JJ,NULL,NULL,in,IN,encouraging,VBG,4
NULL,NULL,uncertainty,NN,regarding,VBG,rates,NNS,NULL,NULL,and,CC,6
NULL,NULL,NULL,NULL,investor,NN,NULL,NULL,was,VBD,directed,VBN,1
NULL,NULL,most,JJS,investor,NN,NULL,NULL,was,VBD,focused,VBN,1
NULL,NULL,and,CC,NULL,NULL,income,NN,NULL,NULL,X,X,6
clothing,NN,company,NN,'\'s',POS,expense,NN,NULL,NULL,exceeds,VBZ,6
signal,VB,NULL,NULL,his,'PP\S',NULL,NULL,in,IN,helping,VBG,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
pursue,VB,NULL,NULL,unspecified,JJ,NULL,NULL,NULL,NULL,NULL,NULL,3
also,RB,cited,VBD,NULL,NULL,costs,NNS,NULL,NULL,and,CC,6
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
the,DT,mcalpine,NP,family,NN,NULL,NULL,NULL,NULL,for,IN,5
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,NULL,NULL,6
cut,VB,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,due,JJ,6
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
jaguar,NP,'\'s',POS,best,JJS,NULL,NULL,NULL,NULL,for,IN,4
of,IN,NULL,NULL,its,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
by,IN,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,and,CC,6
pursue,VB,NULL,NULL,other,JJ,NULL,NULL,NULL,NULL,NULL,NULL,3
attract,VB,NULL,NULL,investor,NN,NULL,NULL,and,CC,remained,VBD,1
NULL,NULL,NULL,NULL,domestic,JJ,rates,NNS,NULL,NULL,are,VBP,6
of,IN,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,at,IN,6
when,WRB,NULL,NULL,market,NN,rates,NNS,NULL,NULL,move,VBP,6
also,RB,has,VBZ,NULL,NULL,NULL,NULL,in,IN,packaging,NN,5
NULL,NULL,of,IN,NULL,NULL,coverage,NN,NULL,NULL,and,CC,6
for,IN,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,NULL,NULL,6
and,CC,bring,VB,NULL,NULL,rates,NNS,NULL,NULL,down,RP,6
NULL,NULL,the,DT,average,JJ,rate,NN,NULL,NULL,rose,VBD,6
showed,VBD,NULL,NULL,little,JJ,NULL,NULL,NULL,NULL,and,CC,1
NULL,NULL,a,DT,quick,JJ,NULL,NULL,in,IN,NULL,NULL,1
but,CC,NULL,NULL,higher,JJR,rates,NNS,NULL,NULL,paid,VBN,6
NULL,NULL,other,JJ,timber,NN,NULL,NULL,NULL,NULL,would,MD,5
NULL,NULL,owed,VBD,NULL,NULL,NULL,NULL,to,TO,in,IN,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
and,CC,NULL,NULL,illegal,JJ,NULL,NULL,in,IN,NULL,NULL,5
hidden,JJ,NULL,NULL,ownership,NN,NULL,NULL,in,IN,NULL,NULL,5
lowered,VBD,NULL,NULL,its,'PP\S',rate,NN,NULL,NULL,and,CC,6
that,IN,NULL,NULL,the,DT,NULL,NULL,NULL,NULL,he,PP,6
7X0826,AB,NULL,NULL,true,JJ,cost,NN,NULL,NULL,X,X,6
7X0808,AB,NULL,NULL,true,JJ,cost,NN,NULL,NULL,X,X,6
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,rates,NNS,NULL,NULL,6
up,RP,NULL,NULL,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,is,VBZ,NULL,NULL,1
drive,VB,down,RP,NULL,NULL,rates,NNS,NULL,NULL,on,IN,6
NULL,NULL,pay,VBP,NULL,NULL,NULL,NULL,monthly,RB,NULL,NULL,6
NULL,NULL,the,DT,long-term,JJ,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,manufacturing,VBG,5
despite,IN,NULL,NULL,growing,VBG,NULL,NULL,in,IN,NULL,NULL,1
shown,VBN,NULL,NULL,much,JJ,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,pay,VBP,NULL,NULL,NULL,NULL,only,RB,for,IN,6
federal,NP,reserve,NP,eases,VBZ,rates,NNS,NULL,NULL,X,X,6
NULL,NULL,of,IN,NULL,NULL,rate,NN,differentials,NNS,NULL,NULL,6
relaxed,VBD,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,lower,JJR,uXsX,NP,rates,NNS,NULL,NULL,and,CC,6
rises,VBZ,when,WRB,NULL,NULL,rates,NNS,NULL,NULL,decline,VBP,6
expects,VBZ,NULL,NULL,uXsX,NP,rates,NNS,NULL,NULL,to,TO,6
NULL,NULL,west,JJ,german,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
in,IN,NULL,NULL,uXsX,NP,rates,NNS,NULL,NULL,NULL,NULL,6
banking,NP,corpX,NP,'\'s',POS,rate,NN,options,NNS,group,NN,6
NULL,NULL,and,CC,NULL,NULL,rate,NN,options,NNS,NULL,NULL,6
in,IN,NULL,NULL,the,DT,rate,NN,options,NNS,unit,NN,6
envision,VB,NULL,NULL,an,DT,rate,NN,environment,NN,NULL,NULL,6
NULL,NULL,involving,VBG,NULL,NULL,rate,NN,options,NNS,NULL,NULL,6
in,IN,NULL,NULL,an,DT,rate,NN,options,NNS,contract,NN,6
NULL,NULL,chemical,NP,'\'s',POS,rate,NN,options,NNS,group,NN,6
NULL,NULL,chemical,NP,'\'s',POS,rate,NN,options,NNS,group,NN,6
is,VBZ,finding,VBG,NULL,NULL,NULL,NULL,from,IN,NULL,NULL,1
the,DT,new,JJ,corporate,JJ,NULL,NULL,in,IN,NULL,NULL,1
federal,NP,reserve,NP,eases,VBZ,rates,NNS,NULL,NULL,soon,RB,6
to,TO,NULL,NULL,minority,NN,NULL,NULL,NULL,NULL,surged,VBD,5
to,TO,NULL,NULL,minority,NN,NULL,NULL,NULL,NULL,on,IN,5
NULL,NULL,NULL,NULL,the,DT,rate,NN,sensitives,NNS,NULL,NULL,6
NULL,NULL,for,IN,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,3
NULL,NULL,NULL,NULL,net-profits,JJ,NULL,NULL,in,IN,NULL,NULL,5
carries,VBZ,NULL,NULL,an,DT,rate,NN,NULL,NULL,of,IN,6
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
and,CC,NULL,NULL,minority,NN,NULL,NULL,but,CC,before,IN,5
NULL,NULL,NULL,NULL,million,AB,NULL,NULL,in,IN,NULL,NULL,5
general,JJ,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
also,RB,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,NULL,NULL,own,JJ,NULL,NULL,are,VBP,in,IN,3
to,TO,lower,VB,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
NULL,NULL,in,IN,NULL,NULL,rate,JJ,cycles,NNS,NULL,NULL,6
NULL,NULL,raised,VBD,NULL,NULL,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,that,IN,NULL,NULL,rates,NNS,NULL,NULL,could,MD,6
that,IN,NULL,NULL,higher,JJR,rates,NNS,NULL,NULL,are,VBP,6
revived,VBN,NULL,NULL,their,'PP\S',NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,lower,JJR,short-term,JJ,rates,NNS,NULL,NULL,over,IN,6
NULL,NULL,the,DT,growing,VBG,NULL,NULL,in,IN,NULL,NULL,1
for,IN,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,made,VBD,6
show,VB,NULL,NULL,an,DT,NULL,NULL,in,IN,NULL,NULL,1
sell,VB,NULL,NULL,his,'PP\S',NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,rockefeller,NP,family,NN,NULL,NULL,X,X,NULL,NULL,5
attracted,VBD,buying,NN,NULL,NULL,NULL,NULL,NULL,NULL,however,RB,1
NULL,NULL,that,IN,NULL,NULL,rates,NNS,NULL,NULL,will,MD,6
and,CC,where,WRB,NULL,NULL,rates,NNS,NULL,NULL,are,VBP,6
to,TO,NULL,NULL,international,JJ,rate,NN,differentials,NNS,NULL,NULL,6
inspire,VB,NULL,NULL,foreign-investor,NN,NULL,NULL,X,X,NULL,NULL,1
9X65,AB,NULL,NULL,annual,JJ,rate,NN,NULL,NULL,NULL,NULL,6
NULL,NULL,NULL,NULL,short-term,JJ,rates,NNS,NULL,NULL,rose,VBD,6
NULL,NULL,NULL,NULL,NULL,NULL,rate,NN,8X07,AB,NULL,NULL,6
reset,VB,NULL,NULL,the,DT,rate,NN,NULL,NULL,on,IN,6
firm,NN,'\'s',POS,annual,JJ,payments,NNS,NULL,NULL,by,IN,6
arouses,VBZ,NULL,NULL,our,'PP\S',NULL,NULL,at,IN,NULL,NULL,1
a,DT,bit,NN,more,JJR,NULL,NULL,in,IN,NULL,NULL,1
indirectly,RB,increases,VBZ,NULL,NULL,rates,NNS,NULL,NULL,charged,VBN,6
NULL,NULL,suspended,VBD,NULL,NULL,payments,NNS,last,JJ,month,NN,6
and,CC,NULL,NULL,personal,JJ,NULL,NULL,NULL,NULL,says,VBZ,3
NULL,NULL,so,RB,much,JJ,NULL,NULL,that,IN,NULL,NULL,1
NULL,NULL,NULL,NULL,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,the,DT,western,JJ,NULL,NULL,to,TO,see,VB,4
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,its,'PP\S',own,JJ,NULL,NULL,NULL,NULL,probably,RB,4
of,IN,NULL,NULL,the,DT,NULL,NULL,charges,VBZ,NULL,NULL,6
be,VB,of,IN,NULL,NULL,NULL,NULL,to,TO,NULL,NULL,2
NULL,NULL,but,CC,NULL,NULL,NULL,NULL,instead,RB,decreased,VBD,1
NULL,NULL,but,CC,NULL,NULL,NULL,NULL,waned,VBD,as,IN,1
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
NULL,NULL,annualized,VBN,NULL,NULL,rates,NNS,NULL,NULL,on,IN,6
19X25,AB,NULL,NULL,annual,JJ,NULL,NULL,and,CC,set,VBN,6
paying,VBG,NULL,NULL,lower,JJR,NULL,NULL,X,X,NULL,NULL,6
allowed,VBD,NULL,NULL,their,'PP\S',rate,NN,NULL,NULL,to,TO,6
paying,VBG,NULL,NULL,an,DT,rate,NN,NULL,NULL,starting,VBG,6
NULL,NULL,in,IN,NULL,NULL,payments,NNS,NULL,NULL,on,IN,6
lower,VB,NULL,NULL,the,DT,rate,NN,NULL,NULL,on,IN,6
NULL,NULL,its,'PP\S',own,JJ,NULL,NULL,as,IN,NULL,NULL,4
protect,VB,NULL,NULL,that,DT,NULL,NULL,NULL,NULL,NULL,NULL,5
and,CC,NULL,NULL,gas,NN,NULL,NULL,from,IN,NULL,NULL,5
NULL,NULL,when,WRB,NULL,NULL,rates,NNS,NULL,NULL,dipped,VBD,6
already,RB,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,high,JJ,british,JJ,rates,NNS,NULL,NULL,X,X,6
even,RB,NULL,NULL,higher,JJR,rates,NNS,NULL,NULL,wo,MD,6
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,to,TO,NULL,NULL,5
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
reduce,VB,NULL,NULL,its,'PP\S',payments,NNS,NULL,NULL,X,X,6
in,IN,NULL,NULL,the,DT,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,other,JJ,business,NN,NULL,NULL,NULL,NULL,NULL,NULL,3
took,VBD,NULL,NULL,an,DT,NULL,NULL,NULL,NULL,NULL,NULL,1
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,NULL,NULL,net,JJ,income,NN,NULL,NULL,for,IN,6
at,IN,NULL,NULL,an,DT,rate,NN,NULL,NULL,of,IN,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,have,VBP,driven,VBN,6
of,IN,NULL,NULL,the,DT,NULL,NULL,on,IN,NULL,NULL,6
have,VBP,shown,VBN,NULL,NULL,NULL,NULL,X,X,NULL,NULL,1
NULL,NULL,the,DT,high,JJ,NULL,NULL,rates,NNS,NULL,NULL,6
NULL,NULL,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,are,VBP,6
NULL,NULL,nor,CC,NULL,NULL,rates,NNS,NULL,NULL,can,MD,6
for,IN,NULL,NULL,his,'PP\S',NULL,NULL,outside,IN,NULL,NULL,3
NULL,NULL,before,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
NULL,NULL,before,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
NULL,NULL,their,'PP\S',real-estate,NN,NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,in,IN,NULL,NULL,NULL,NULL,NULL,NULL,every,DT,6
said,VBD,NULL,NULL,long-term,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,believe,VBP,NULL,NULL,rates,NNS,NULL,NULL,are,VBP,6
expected,VBD,NULL,NULL,NULL,NULL,rates,NNS,NULL,NULL,have,VBP,6
and,CC,pushed,VBD,NULL,NULL,rates,NNS,NULL,NULL,up,RB,6
NULL,NULL,the,DT,mortgage,NN,rates,NNS,NULL,NULL,of,IN,6
and,CC,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
to,TO,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,X,X,6
falls,VBZ,NULL,NULL,NULL,NULL,rates,NNS,NULL,NULL,are,VBP,6
'\'s',POS,australian,JJ,coal,NN,NULL,NULL,for,IN,NULL,NULL,5
is,VBZ,NULL,NULL,great,JJ,NULL,NULL,in,IN,NULL,NULL,1
the,DT,first,JJ,time,NN,NULL,NULL,paid,VBN,on,IN,6
NULL,NULL,accrued,VBN,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,and,CC,NULL,NULL,NULL,NULL,from,IN,NULL,NULL,6
NULL,NULL,NULL,NULL,equity,NN,NULL,NULL,of,IN,NULL,NULL,5
to,TO,cover,VB,NULL,NULL,payments,NNS,NULL,NULL,on,IN,6
50X3,AB,NULL,NULL,controlling,VBG,NULL,NULL,X,X,NULL,NULL,5
a,DT,NULL,NULL,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,the,DT,public,JJ,NULL,NULL,would,MD,be,VB,4
any,DT,substantial,JJ,buying,NN,NULL,NULL,X,X,NULL,NULL,1
NULL,NULL,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,and,CC,6
NULL,NULL,move,VBP,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
over,IN,NULL,NULL,the,DT,rates,NNS,NULL,NULL,on,IN,6
paying,VBG,NULL,NULL,less,JJR,NULL,NULL,than,IN,promised,VBN,6
key,JJ,federal,JJ,funds,NNS,rate,NN,NULL,NULL,NULL,NULL,6
NULL,NULL,the,DT,public,JJ,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
of,IN,NULL,NULL,little,JJ,NULL,NULL,outside,IN,NULL,NULL,2
NULL,NULL,as,RB,much,JJ,NULL,NULL,as,IN,NULL,NULL,1
behind,RB,in,IN,NULL,NULL,payments,NNS,NULL,NULL,X,X,6
NULL,NULL,NULL,NULL,NULL,NULL,rate,NN,NULL,NULL,X,X,6
NULL,NULL,where,WRB,NULL,NULL,rates,NNS,NULL,NULL,for,IN,6
NULL,NULL,the,DT,best,JJS,NULL,NULL,of,IN,NULL,NULL,4
NULL,NULL,and,CC,NULL,NULL,expense,NN,NULL,NULL,X,X,6
reduced,JJ,NULL,NULL,cash,NN,NULL,NULL,X,X,NULL,NULL,6
NULL,NULL,a,DT,controlling,VBG,NULL,NULL,in,IN,NULL,NULL,5
some,DT,light,JJ,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,the,DT,effective,JJ,rate,NN,NULL,NULL,on,IN,6
NULL,NULL,in,IN,NULL,NULL,expenses,NNS,NULL,NULL,next,IN,6
NULL,NULL,when,WRB,NULL,NULL,rates,NNS,NULL,NULL,generally,RB,6
NULL,NULL,in,IN,NULL,NULL,rates,NNS,NULL,NULL,X,X,6
'n\'t',RB,NULL,NULL,much,JJ,NULL,NULL,X,X,NULL,NULL,1
are,VBP,showing,VBG,NULL,NULL,NULL,NULL,X,X,NULL,NULL,1
because,RB,NULL,NULL,municipal-bond,JJ,NULL,NULL,is,VBZ,exempt,JJ,6
at,IN,NULL,NULL,prevailing,JJ,rates,NNS,NULL,NULL,X,X,6
NULL,NULL,that,IN,NULL,NULL,rates,NNS,NULL,NULL,will,MD,6
NULL,NULL,if,IN,NULL,NULL,rates,NNS,NULL,NULL,rise,VBP,6
NULL,NULL,if,IN,NULL,NULL,rates,NNS,NULL,NULL,do,VBP,6
NULL,NULL,NULL,NULL,an,DT,rate,NN,NULL,NULL,is,VBZ,6
NULL,NULL,8X8,AB,NULL,NULL,NULL,NULL,for,IN,NULL,NULL,6
NULL,NULL,track,VBP,market,NN,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,the,DT,national,JJ,NULL,NULL,NULL,NULL,in,IN,4
to,TO,NULL,NULL,our,'PP\S',NULL,NULL,in,IN,NULL,NULL,4
NULL,NULL,lower,JJR,uXsX,NP,rates,NNS,NULL,NULL,continue,VBP,6
in,IN,NULL,NULL,uXsX,NP,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,high,JJ,british,JJ,rates,NNS,NULL,NULL,that,IN,6
NULL,NULL,strong,JJ,buying,NN,NULL,NULL,in,IN,NULL,NULL,1
japanese,JJ,investors,NNS,NULL,NULL,NULL,NULL,in,IN,buying,VBG,1
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
plus,CC,accrued,JJ,NULL,NULL,NULL,NULL,to,TO,NULL,NULL,6
in,IN,how,WRB,NULL,NULL,rates,NNS,NULL,NULL,move,VBP,6
predict,VB,where,WRB,NULL,NULL,rates,NNS,NULL,NULL,in,IN,6
and,CC,NULL,NULL,gas,NN,NULL,NULL,up,RP,for,IN,5
NULL,NULL,has,VBZ,NULL,NULL,NULL,NULL,ranging,VBG,from,IN,5
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,during,IN,NULL,NULL,6
thereafter,RB,NULL,NULL,NULL,NULL,NULL,NULL,paid,VBN,annually,RB,6
will,MD,represent,VB,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,a,DT,half,NN,NULL,NULL,in,IN,NULL,NULL,5
half,PDT,the,DT,brewing,NN,NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,the,DT,public,JJ,NULL,NULL,X,X,NULL,NULL,4
NULL,NULL,as,IN,NULL,NULL,rate,NN,swaps,NNS,NULL,NULL,6
read,VBP,with,IN,NULL,NULL,robert,NP,tomsho,NP,'\'s',POS,1
NULL,NULL,NULL,NULL,your,'PP\S',NULL,NULL,is,VBZ,not,RB,4
NULL,NULL,similar,JJ,intellectual,JJ,NULL,NULL,X,X,NULL,NULL,3
are,VBP,spurring,VBG,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
as,IN,NULL,NULL,fat,JJ,payments,NNS,NULL,NULL,barely,RB,6
supports,VBZ,NULL,NULL,high,JJ,rates,NNS,NULL,NULL,to,TO,6
said,VBD,NULL,NULL,the,DT,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,NULL,NULL,base,NN,rates,NNS,NULL,NULL,are,VBP,6
of,IN,NULL,NULL,charging,VBG,rates,NNS,NULL,NULL,much,RB,6
but,CC,NULL,NULL,the,DT,rates,NNS,they,PP,NULL,NULL,6
NULL,NULL,NULL,NULL,whose,'WP\S',NULL,NULL,include,VBP,NULL,NULL,5
NULL,NULL,in,IN,NULL,NULL,expense,NN,NULL,NULL,X,X,6
NULL,NULL,no,DT,periodic,JJ,payments,NNS,NULL,NULL,X,X,6
is,VBZ,NULL,NULL,some,DT,NULL,NULL,in,IN,NULL,NULL,1
to,TO,lower,VB,NULL,NULL,rates,NNS,NULL,NULL,in,IN,6
at,IN,NULL,NULL,variable,JJ,rates,NNS,NULL,NULL,NULL,NULL,6
NULL,NULL,the,DT,semiannual,JJ,payment,NN,NULL,NULL,on,IN,6
missed,VBD,NULL,NULL,an,DT,payment,NN,NULL,NULL,on,IN,6
of,IN,NULL,NULL,its,'PP\S',NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,foreign,JJ,annual,JJ,rates,NNS,NULL,NULL,below,RB,6
NULL,NULL,of,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
of,IN,NULL,NULL,covia,NP,NULL,NULL,X,X,NULL,NULL,5
NULL,NULL,with,IN,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
to,TO,revive,VB,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,plus,CC,NULL,NULL,NULL,NULL,NULL,NULL,at,IN,6
at,IN,NULL,NULL,lower,JJR,rates,NNS,NULL,NULL,NULL,NULL,6
bring,VB,NULL,NULL,our,'PP\S',rate,NN,NULL,NULL,down,RP,6
of,IN,NULL,NULL,accrued,JJ,NULL,NULL,NULL,NULL,this,DT,6
fix,VB,NULL,NULL,the,DT,NULL,NULL,rates,NNS,on,IN,6
excluding,VBG,NULL,NULL,accrued,JJ,NULL,NULL,NULL,NULL,NULL,NULL,6
the,DT,bonds,NNS,NULL,NULL,NULL,NULL,rates,VBZ,as,RB,6
fixing,VBG,NULL,NULL,the,DT,rate,NN,NULL,NULL,as,RB,6
to,TO,accrue,VB,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,6
fix,VB,NULL,NULL,the,DT,rate,NN,NULL,NULL,to,TO,6
also,RB,has,VBZ,NULL,NULL,NULL,NULL,in,IN,NULL,NULL,5
NULL,NULL,enhanced,JJ,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,some,DT,investor,NN,NULL,NULL,in,IN,NULL,NULL,1
NULL,NULL,NULL,NULL,that,DT,NULL,NULL,has,VBZ,been,VBN,1
increasing,VBG,NULL,NULL,open,JJ,NULL,NULL,and,CC,NULL,NULL,5
NULL,NULL,NULL,NULL,open,JJ,NULL,NULL,is,VBZ,NULL,NULL,5
pay,VB,NULL,NULL,overdue,JJ,NULL,NULL,on,IN,NULL,NULL,6
or,CC,from,IN,NULL,NULL,NULL,NULL,on,IN,NULL,NULL,6
NULL,NULL,NULL,NULL,high,JJ,NULL,NULL,and,CC,NULL,NULL,6
NULL,NULL,a,DT,voting,NN,NULL,NULL,of,IN,about,RB,5
